Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Age,Gender,Annual_Income,Signup_Date,Years_as_Customer,Num_of_Purchases,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Email_Opt_In,Promotion_Response,First_Purchase_Date,Last_Purchase_Date,Marketing_Channel,Signup_Date,First_Purchase_Date,Last_Purchase_Date,Num_of_Returns,Num_of_Support_Contacts,Email_Opt_In,Promotion_Response,Marketing_Channel,Total_Spend
27,CA-2016-121755,16-01-16,20-01-16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741,25,Female,25000,08-06-14,3,17,1,3,8,Yes,0.649731638,02-07-14,27-05-17,Email,08-01-14,07-02-14,27-05-17,0,2,0,1,Referral,684.171
28,US-2015-150630,17-09-15,21-09-15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,53,Female,26303,31-07-14,3.1,20,1,6,8,Yes,0.648006706,17-10-14,14-09-17,Direct,17-09-14,17-10-14,14-09-17,44,2,1,1,Social Media,4737.486
29,US-2015-150630,17-09-15,21-09-15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,53,Female,26303,31-07-14,3.1,20,1,6,8,Yes,0.648006706,17-10-14,14-09-17,Direct,17-09-14,17-10-14,14-09-17,44,1,1,1,Social Media,4737.486
30,US-2015-150630,17-09-15,21-09-15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,53,Female,26303,31-07-14,3.1,20,1,6,8,Yes,0.648006706,17-10-14,14-09-17,Direct,17-09-14,17-10-14,14-09-17,44,3,1,1,Social Media,4737.486
31,US-2015-150630,17-09-15,21-09-15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,53,Female,26303,31-07-14,3.1,20,1,6,8,Yes,0.648006706,17-10-14,14-09-17,Direct,17-09-14,17-10-14,14-09-17,44,3,1,1,Social Media,4737.486
32,US-2015-150630,17-09-15,21-09-15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,53,Female,26303,31-07-14,3.1,20,1,6,8,Yes,0.648006706,17-10-14,14-09-17,Direct,17-09-14,17-10-14,14-09-17,44,2,1,1,Social Media,4737.486
33,US-2015-150630,17-09-15,21-09-15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,53,Female,26303,31-07-14,3.1,20,1,6,8,Yes,0.648006706,17-10-14,14-09-17,Direct,17-09-14,17-10-14,14-09-17,44,3,1,1,Social Media,4737.486
34,US-2015-150630,17-09-15,21-09-15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,53,Female,26303,31-07-14,3.1,20,1,6,8,Yes,0.648006706,17-10-14,14-09-17,Direct,17-09-14,17-10-14,14-09-17,44,4,1,1,Social Media,4737.486
35,CA-2017-107727,19-10-17,23-10-17,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,21,Male,25000,04-06-14,3.4,34,3,9,7,No,0.499566687,08-08-14,27-10-17,Direct,09-07-14,08-08-14,27-10-17,44,1,1,1,Search Engine,4299.161
36,CA-2016-117590,08-12-16,10-12-16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,46,Male,49367,19-09-15,1.2,3,0,1,8,Yes,0.791956029,08-10-15,08-12-16,Email,11-07-15,10-08-15,12-08-16,44,2,1,1,Search Engine,1361.244
37,CA-2016-117590,08-12-16,10-12-16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,46,Male,49367,19-09-15,1.2,3,0,1,8,Yes,0.791956029,08-10-15,08-12-16,Email,11-07-15,10-08-15,12-08-16,44,4,1,1,Search Engine,1361.244
38,CA-2015-117415,27-12-15,31-12-15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,70,Male,25000,05-02-14,3.7,19,1,4,9,Yes,0.528998411,06-05-14,12-10-17,Email,06-05-14,05-06-14,10-12-17,44,2,1,1,Search Engine,3127.9592
39,CA-2015-117415,27-12-15,31-12-15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,70,Male,25000,05-02-14,3.7,19,1,4,9,Yes,0.528998411,06-05-14,12-10-17,Email,06-05-14,05-06-14,10-12-17,44,4,1,1,Search Engine,3127.9592
40,CA-2015-117415,27-12-15,31-12-15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,70,Male,25000,05-02-14,3.7,19,1,4,9,Yes,0.528998411,06-05-14,12-10-17,Email,06-05-14,05-06-14,10-12-17,44,4,1,1,Search Engine,3127.9592
41,CA-2015-117415,27-12-15,31-12-15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,70,Male,25000,05-02-14,3.7,19,1,4,9,Yes,0.528998411,06-05-14,12-10-17,Email,06-05-14,05-06-14,10-12-17,44,3,1,1,Search Engine,3127.9592
42,CA-2017-120999,10-09-17,15-09-17,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,71,Female,33374,14-12-13,3.9,14,1,2,9,Yes,0.541309969,20-02-14,19-11-17,Social,21-01-14,20-02-14,19-11-17,44,4,1,1,Referral,4492.946
43,CA-2016-101343,17-07-16,22-07-16,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,76,Male,28264,07-03-14,3.7,15,1,5,7,Yes,0.570185282,08-04-14,17-11-17,Social,05-07-14,04-08-14,17-11-17,44,4,1,1,Referral,3832.314
44,CA-2017-139619,19-09-17,23-09-17,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,46,Female,31843,02-08-14,3.3,20,1,4,8,No,0.835818351,02-10-14,02-12-17,Social,11-01-14,10-02-14,19-09-17,44,3,1,1,Social Media,4657.924
45,CA-2016-118255,11-03-16,13-03-16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,37,Female,25000,29-08-14,2.2,15,1,3,7,Yes,0.491233796,13-09-14,15-11-16,Email,13-01-14,12-02-14,15-11-16,44,3,1,1,Social Media,1567.52
46,CA-2016-118255,11-03-16,13-03-16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,37,Female,25000,29-08-14,2.2,15,1,3,7,Yes,0.491233796,13-09-14,15-11-16,Email,13-01-14,12-02-14,15-11-16,17,4,1,1,Social Media,1567.52
47,CA-2014-146703,20-10-14,25-10-14,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,65,Male,25000,28-01-14,3.9,13,1,3,9,Yes,0.440521368,23-03-14,30-12-17,Search,21-02-14,23-03-14,30-12-17,17,1,1,1,Social Media,2493.214
48,CA-2016-169194,20-06-16,25-06-16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95,53,Female,25000,09-08-14,3.3,15,1,4,8,Yes,0.307477208,19-08-14,09-12-17,Referral,10-12-13,09-01-14,12-09-17,17,4,1,1,Referral,2295.332
49,CA-2016-169194,20-06-16,25-06-16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,53,Female,25000,09-08-14,3.3,15,1,4,8,Yes,0.307477208,19-08-14,09-12-17,Referral,10-12-13,09-01-14,12-09-17,17,2,1,1,Referral,2295.332
50,CA-2015-115742,18-04-15,22-04-15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,81,Male,25000,23-12-13,3.7,17,1,3,8,No,0.712437588,03-01-14,26-08-17,Email,30-01-14,01-03-14,26-08-17,17,2,1,1,Email,1050.636
51,CA-2015-115742,18-04-15,22-04-15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346,81,Male,25000,23-12-13,3.7,17,1,3,8,No,0.712437588,03-01-14,26-08-17,Email,30-01-14,01-03-14,26-08-17,17,4,1,1,Email,1050.636
52,CA-2015-115742,18-04-15,22-04-15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,81,Male,25000,23-12-13,3.7,17,1,3,8,No,0.712437588,03-01-14,26-08-17,Email,30-01-14,01-03-14,26-08-17,17,2,1,1,Email,1050.636
53,CA-2015-115742,18-04-15,22-04-15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,81,Male,25000,23-12-13,3.7,17,1,3,8,No,0.712437588,03-01-14,26-08-17,Email,30-01-14,01-03-14,26-08-17,17,4,1,1,Email,1050.636
54,CA-2016-105816,11-12-16,17-12-16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,60,Female,25000,24-07-14,3.3,13,0,0,10,Yes,0.423197094,25-08-14,23-11-17,Email,26-07-14,25-08-14,23-11-17,17,1,1,1,Search Engine,1804.146
55,CA-2016-105816,11-12-16,17-12-16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,60,Female,25000,24-07-14,3.3,13,0,0,10,Yes,0.423197094,25-08-14,23-11-17,Email,26-07-14,25-08-14,23-11-17,17,1,1,1,Search Engine,1804.146
56,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,31,Female,25000,03-04-16,1.4,18,0,2,10,No,0.381170849,17-06-16,02-09-17,Direct,18-05-16,17-06-16,21-03-17,17,2,1,1,Email,1467.881
57,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,31,Female,25000,03-04-16,1.4,18,0,2,10,No,0.381170849,17-06-16,02-09-17,Direct,18-05-16,17-06-16,21-03-17,17,2,1,1,Email,1467.881
58,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,31,Female,25000,03-04-16,1.4,18,0,2,10,No,0.381170849,17-06-16,02-09-17,Direct,18-05-16,17-06-16,21-03-17,17,3,1,1,Email,1467.881
59,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,31,Female,25000,03-04-16,1.4,18,0,2,10,No,0.381170849,17-06-16,02-09-17,Direct,18-05-16,17-06-16,21-03-17,17,1,1,1,Email,1467.881
60,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,31,Female,25000,03-04-16,1.4,18,0,2,10,No,0.381170849,17-06-16,02-09-17,Direct,18-05-16,17-06-16,21-03-17,17,1,1,1,Email,1467.881
61,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,31,Female,25000,03-04-16,1.4,18,0,2,10,No,0.381170849,17-06-16,02-09-17,Direct,18-05-16,17-06-16,21-03-17,17,2,1,1,Email,1467.881
62,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,31,Female,25000,03-04-16,1.4,18,0,2,10,No,0.381170849,17-06-16,02-09-17,Direct,18-05-16,17-06-16,21-03-17,17,3,1,1,Email,1467.881
63,CA-2015-135545,24-11-15,30-11-15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,50,Female,25000,12-02-14,3.8,28,2,5,9,Yes,0.351364881,30-03-14,02-12-17,Email,05-12-13,04-01-14,12-02-17,17,2,1,1,Social Media,4909.472
